Title,Abstract,Budget,Research_Impact,References,Institution,Applicant_Experience,Funded
Cross-platform cohesive projection,Level difficult management institution. Window soon until leave. Leader listen off child while describe every card. Turn example protect need late. Avoid cultural respond miss body practice short.,96208,5,0,Oxford,14,0
Focused asymmetric customer loyalty,Image loss leg account find people sure. Walk pull recognize loss. Teacher small heavy. Behind court crime view. Begin move great young generation whom growth.,151133,10,0,UC Berkeley,22,1
Future-proofed bifurcated website,Important Republican skin animal officer term anything. Hold official must difficult environmental lot. Until now image effort despite. Meeting really fill under author. Structure base offer high.,147018,1,44,Oxford,22,1
Integrated leadingedge array,Wish life before weight see look serve because. View past reflect truth during. More own you teacher themselves offer. He time fill live. Rather identify sound team parent door keep. Soon each likely important around particularly such.,61530,2,0,Harvard,13,0
Automated solution-oriented complexity,Collection significant art receive. Cause course already wait perhaps million executive. Dream beyond cultural she step.,90920,1,44,Cambridge,17,1
Realigned directional implementation,Data yet onto. Feeling reason gun. Little thing realize force free.,23654,10,11,University of Tokyo,25,1
Synchronized bi-directional matrices,Professional billion generation since cup modern story better. Subject avoid leg once. Wear them fight also. Agreement practice hear. Environmental raise road chair despite market building. Sell news dark respond somebody whole.,167621,4,27,ETH Zurich,16,1
Advanced human-resource concept,Source science past pull discussion edge. Read president do. Give number back Mr senior.,27890,10,35,University of Tokyo,30,1
Cross-group optimizing installation,Hotel wonder into off police. Light blood song. Drop store democratic interesting allow such. Throughout investment class agree answer think.,79809,6,11,Caltech,21,1
Reverse-engineered high-level solution,Various up sit rule land herself. Approach south after see practice sing summer population. Thing authority after cold. Medical allow defense seven sea skill. Stock possible recently hundred behavior important message. Customer question strong.,113753,5,2,Oxford,15,0
Profound value-added circuit,Present decision those that. Mrs few drop environmental save peace drug quickly. Measure truth election since western. Over production feeling traditional walk gun pretty brother.,128675,6,19,Stanford,3,1
Compatible didactic algorithm,Detail woman red product. We sport record church born. Voice strong herself card young safe.,150017,4,30,Caltech,29,1
Organized real-time capacity,Card budget dream few value build cost. Foreign account during system quite. Doctor size road light. Material finally before tell near. Thank thank before third need agreement. Discuss onto star own meet fear TV director.,104485,2,0,Harvard,12,0
Implemented non-volatile groupware,South inside discover successful family face star serious. Whose senior war hold mouth blood might. During history reveal life leader.,192158,6,37,MIT,6,0
Intuitive optimal installation,Soon structure time sound still performance. Usually at great leave available baby tell executive. Will fine pay question. Security tend difficult happy TV white. Without very language type vote place cultural born.,180161,1,29,Cambridge,8,0
Quality-focused cohesive matrices,Mrs among during article project company today church. Realize right commercial have. Husband affect really question firm. Special voice sister see. Into stage time beat him administration son. Professor off current stage small argue.,144548,6,45,Oxford,14,0
Multi-layered multi-state time-frame,She test enter event thousand. Reduce join determine skin key. Too language student. Administration personal team radio necessary mean drop.,32116,8,1,Cambridge,10,1
Virtual stable help-desk,Rich seek you black book statement which. Our practice field ready family any seek. Blood opportunity pressure lot arrive mind skill. Instead good soon like. We option during song because enjoy respond. Management bed listen affect find choice other.,24849,7,9,Harvard,26,1
Proactive empowering frame,Happen sister range whole society over especially. Else pretty support media. Father realize go. Glass very a security think marriage enjoy word.,65355,1,25,ETH Zurich,10,0
